id,order_id,refund_amount
1,78897,302.62
2,896893,350.69
3,403779,279.1
4,414917,319.36
5,422046,20.18
6,913390,380.42
7,302814,487.78
8,779287,403.66
9,57727,344.52
10,268758,393.71
11,987816,427.18
12,489275,80.48
13,34237,234.99
14,50148,173.21
15,782650,201.7
16,196722,442.2
17,82154,403.12
18,491556,292.21
19,205252,268.02
20,78663,321.99
21,86405,6.83
22,40446,266.44
23,517497,112.01
24,530489,426.47
25,693793,254.83
26,890977,348.32
27,354754,317.61
28,554647,381.22
29,414304,55.84
30,656804,227.2
31,952322,282.36
32,315888,10.74
33,323788,48.26
34,129361,229.05
35,500657,434.82
36,833386,89.81
37,176888,29.59
38,622041,363.24
39,663616,7.66
40,471617,97.11
41,873792,17.17
42,785974,498.28
43,320993,160.19
44,29901,262.13
45,493331,425.63
46,890375,218.65
47,703375,108.21
48,133047,153.29
49,414016,304.07
50,558248,69.59
51,173756,198.63
52,345831,320.02
53,95222,130.4
54,466334,479.51
55,222840,323.87
56,433229,201.3
57,418432,210.36
58,343366,116.26
59,111644,497.53
60,28183,179.43
61,31578,410.07
62,879987,306.53
63,413928,310.76
64,706102,60.64
65,27255,461.03
66,797405,56.09
67,381946,165.53
68,894349,52.82
69,481714,357.37
70,111027,343.14
71,962970,129.78
72,815100,46.1
73,29753,369.15
74,44704,221.93
75,812246,39.0
76,884682,12.02
77,548901,260.04
78,425353,113.62
79,722831,42.86
80,905565,305.98
81,375490,415.57
82,260300,321.63
83,314135,16.68
84,459124,31.29
85,653036,409.84
86,821406,46.85
87,127869,180.5
88,243832,332.7
89,378406,443.85
90,555992,53.27
91,6480,239.42
92,209905,424.95
93,632860,248.28
94,542169,40.49
95,995092,109.77
96,287943,117.74
97,40507,290.36
98,687546,105.24
99,481243,138.49
100,123865,108.66
101,846280,402.84
102,16231,262.43
103,167046,245.04
104,513212,426.25
105,581280,57.69
106,538770,422.51
107,314180,481.18
108,929878,222.8
109,420952,61.97
110,82171,306.63
111,691847,328.59
112,718060,221.07
113,689603,280.9
114,444844,145.67
115,624467,257.99
116,163706,453.95
117,912630,115.78
118,763823,442.49
119,398791,204.32
120,896665,323.82
121,618286,78.26
122,492582,190.56
123,25146,210.39
124,506293,36.57
125,236624,176.22
126,603364,448.88
127,193133,150.16
128,23710,478.02
129,746930,346.16
130,221230,306.43
131,46675,18.11
132,242481,51.17
133,549589,330.79
134,203431,137.19
135,992720,455.2
136,497348,420.78
137,596798,471.12
138,558111,270.36
139,371138,469.34
140,7693,243.65
141,241750,161.24
142,822769,393.85
143,300135,127.02
144,760744,368.17
145,927925,373.78
146,218367,194.22
147,504500,108.99
148,590326,332.18
149,38348,145.99
150,255176,436.08
151,691286,350.11
152,18362,216.09
153,349390,54.92
154,108197,250.15
155,821971,255.59
156,436632,264.21
157,6120,477.7
158,689740,405.76
159,235373,105.46
160,532192,121.7
161,667620,206.48
162,308921,277.37
163,191613,97.83
164,290875,41.99
165,230957,321.55
166,234301,9.47
167,753368,76.39
168,655813,122.27
169,573263,45.45
170,942593,8.01
171,75693,237.42
172,181256,66.07
173,973806,268.97
174,579445,441.53
175,843411,250.35
176,845005,113.35
177,563544,150.99
178,633792,127.29
179,69117,465.5
180,83320,45.12
181,103596,458.26
182,351091,271.74
183,783746,481.93
184,796463,393.95
185,225053,242.5
186,184278,207.61
187,328161,9.85
188,238338,37.14
189,557339,192.59
190,81732,68.8
191,466293,52.95
192,325920,294.43
193,545672,442.31
194,388438,455.1
195,120364,312.59
196,666009,486.85
197,757180,451.43
198,608327,280.77
199,908470,124.93
200,117966,157.74
201,330380,25.11
202,394047,210.04
203,518483,68.56
204,205289,337.32
205,99924,479.82
206,720028,395.31
207,389432,161.68
208,99094,95.76
209,470054,398.38
210,99132,460.91
211,251672,474.2
212,527780,56.81
213,581435,290.41
214,380270,137.79
215,971416,454.95
216,623858,293.51
217,371973,497.63
218,241868,164.66
219,771329,266.06
220,445621,401.62
221,210098,298.32
222,192896,36.89
223,947522,196.83
224,217654,450.33
225,813297,288.69
226,396746,333.75
227,523749,263.51
228,143133,181.21
229,710305,306.64
230,640605,202.75
231,912357,147.37
232,339917,197.53
233,661019,254.87
234,821866,486.4
235,360628,435.75
236,608158,402.63
237,159087,496.1
238,927473,72.64
239,768687,81.11
240,419589,265.72
241,348479,327.88
242,773218,489.08
243,891360,219.92
244,709340,107.34
245,737163,324.04
246,935675,13.24
247,838734,247.3
248,818349,238.65
249,843775,165.76
250,828049,388.71
251,791076,208.89
252,295130,86.51
253,422815,60.08
254,166633,157.67
255,918690,214.13
256,654103,444.24
257,479601,39.8
258,553826,439.91
259,989500,340.07
260,323109,183.99
261,777590,124.24
262,852159,484.44
263,496644,329.73
264,841156,392.63
265,941495,465.43
266,790279,336.31
267,868376,421.15
268,796907,213.72
269,485186,323.6
270,121319,166.57
271,879326,447.09
272,51616,440.75
273,165826,319.24
274,13074,452.61
275,967972,64.47
276,559746,414.09
